Code,"New Code","Local authority",2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011/12,2012/13,2013/14,2014/15,"2015/16 P"
00AA,E09000001,"City of London",110,0,0,50,50,-10,50,20,40,440,230,80
00AB,E09000002,"Barking and Dagenham",360,270,310,720,290,110,130,350,510,730,510,730
00AC,E09000003,Barnet,1050,1040,490,1250,1090,850,730,2110,1370,1110,1320,1460
00AD,E09000004,Bexley,270,210,310,330,290,430,240,200,420,530,810,-130
00AE,E09000005,Brent,640,1670,1200,1070,1210,1170,670,560,660,730,1560,1050
00AF,E09000006,Bromley,830,750,950,770,560,630,740,580,690,150,410,700
00AG,E09000007,Camden,720,790,650,520,1040,580,690,370,560,450,440,970
00AH,E09000008,Croydon,390,390,750,1180,1260,1100,850,710,890,1300,1520,2040
00AJ,E09000009,Ealing,480,830,1370,1420,850,520,290,690,990,770,900,720
00AK,E09000010,Enfield,720,560,1050,1280,680,620,800,300,550,510,400,670
00AL,E09000011,Greenwich,1620,1390,740,330,300,90,530,1320,110,1110,1150,1720
00AM,E09000012,Hackney,1150,1200,1450,1910,2390,1970,750,1160,800,1130,1260,830
00AN,E09000013,"Hammersmith and Fulham",470,650,650,540,480,910,490,470,420,630,1360,370
00AP,E09000014,Haringey,1450,1170,1490,1130,1330,1140,740,1280,580,470,130,240
00AQ,E09000015,Harrow,650,660,710,460,860,600,530,470,720,300,410,910
00AR,E09000016,Havering,540,460,940,420,740,520,380,40,240,160,640,1010
00AS,E09000017,Hillingdon,340,590,280,490,880,610,400,990,1470,550,550,710
00AT,E09000018,Hounslow,900,860,1740,1990,870,920,1000,580,230,690,400,480
00AU,E09000019,Islington,680,880,1830,1730,2330,1590,570,1220,920,1240,500,1030
00AW,E09000020,"Kensington and Chelsea",150,80,30,-50,-20,200,40,100,60,600,980,380
00AX,E09000021,"Kingston upon Thames",510,330,300,270,160,110,110,220,200,260,530,240
00AY,E09000022,Lambeth,1020,1370,1350,1420,1310,1370,1560,850,540,1250,1410,1350
00AZ,E09000023,Lewisham,790,1040,650,1080,1210,1060,1010,1190,1800,710,1470,1540
00BA,E09000024,Merton,-60,270,-10,150,370,-80,-50,510,410,440,430,510
00BB,E09000025,Newham,570,900,720,920,1070,1460,770,910,670,1970,2050,1440
00BC,E09000026,Redbridge,710,760,1020,630,620,950,460,530,260,260,260,50
00BD,E09000027,"Richmond upon Thames",630,940,290,350,400,260,370,210,490,360,240,510
00BE,E09000028,Southwark,2020,1570,2310,2150,1470,1760,1850,1050,1250,1650,1140,1380
00BF,E09000029,Sutton,300,140,140,480,330,60,190,590,230,300,430,390
00BG,E09000030,"Tower Hamlets",3040,2980,3020,2640,3460,3040,1870,2880,960,660,920,2390
00BH,E09000031,"Waltham Forest",630,760,920,980,970,380,660,500,470,390,670,970
00BJ,E09000032,Wandsworth,1740,1360,1700,1280,1830,1830,730,980,960,1200,1080,2740
00BK,E09000033,Westminster,1440,1980,1560,1670,1630,1600,1670,930,590,530,750,910
1B,E13000001,"Inner London",12830,14070,13670,13750,14670,13690,11090,11130,8630,9720,10850,14180
1C,E13000002,"Outer London",28780,31340,32460,32350,34300,31330,24680,25410,20380,22940,25300,32210
A,E12000001,"North East",6970,6910,8590,8900,5690,5120,6090,4590,4230,4120,7550,7820
B,E12000002,"North West",21390,23800,26010,29300,19550,13400,11770,10940,13020,13570,18700,19690
D,E12000003,"Yorkshire and The Humber",15040,18680,21700,22800,17350,13570,13580,11930,10210,11800,13830,15620
E,E12000004,"East Midlands",18390,21100,23090,21610,15230,13810,12740,11170,11210,12730,15630,17680
F,E12000005,"West Midlands",17750,20530,18130,17640,14630,12300,11840,10700,10990,12520,17290,18360
G,E12000006,East,23520,25830,26140,27950,21920,17440,18300,18120,15580,17130,20240,22160
H,E12000007,London,26860,28850,30910,31560,32310,28350,21820,24870,21060,23580,26860,30390
J,E12000008,"South East",33200,34410,35700,36550,33470,23170,23520,24610,22190,21910,28360,34900
K,E12000009,"South West",22490,22500,24720,27200,22640,17730,17710,18110,16350,19380,22370,23230
921,E92000001,England,185550,202650,214940,223530,182770,144870,137390,134900,124720,136610,170690,189650
