"Old ONS code","New ONS code","Local Authority",2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
00AA,E09000001,"City of London",5010,5120,5130,5260,5370,5370,5370,5420,5470,5460,5510,5530,5570,6000,6230,
00AB,E09000002,"Barking and Dagenham",68300,68530,68840,68900,69260,69530,69840,70550,70840,70950,71080,71430,71940,72670,73180,outer
00AC,E09000003,Barnet,130520,130800,131880,132860,133900,134940,135430,136680,137770,138620,139350,141460,142830,143950,145270,outer
00AD,E09000004,Bexley,91610,91910,92220,92950,93220,93430,93750,94080,94370,94800,95040,95240,95660,96190,97000,outer
00AE,E09000005,Brent,101430,102830,103850,104450,105090,106770,107970,109040,110240,111410,112080,112640,113310,114040,115600,outer
00AF,E09000006,Bromley,128720,128970,129310,129810,130640,131390,132340,133110,133670,134300,135040,135610,136300,136450,136860,outer
00AG,E09000007,Camden,93110,93880,94460,94840,95560,96350,97000,97520,98560,99140,99830,100200,100760,101210,101650,inner
00AH,E09000008,Croydon,141300,141420,141820,142180,142570,142960,143710,144900,146150,147250,148100,148810,149700,150990,152520,outer
00AJ,E09000009,Ealing,120330,120590,120920,121430,121910,122740,124110,125530,126380,126900,127190,127870,128860,129630,130530,outer
00AK,E09000010,Enfield,112950,114130,115270,116340,117060,117610,118670,119950,120620,121240,122040,122340,122890,123400,123800,outer
00AL,E09000011,Greenwich,95410,95970,96750,98180,99810,101190,101930,102260,102560,102650,103190,104510,104620,105740,106880,inner
00AM,E09000012,Hackney,87210,88560,90220,91590,92740,93940,95390,97300,99690,101660,102410,103560,104360,105490,106750,inner
00AN,E09000013,"Hammersmith and Fulham",77100,77290,77610,78200,78670,79310,79970,80510,80990,81900,82390,82860,83280,83910,85270,inner
00AP,E09000014,Haringey,93640,94320,95140,95710,97170,98340,99830,100960,102290,103430,104170,105460,106030,106510,106640,outer
00AQ,E09000015,Harrow,80730,80960,81520,82050,82700,83360,84070,84530,85390,85990,86520,86990,87710,88000,88410,outer
00AR,E09000016,Havering,93790,94190,94550,95180,95730,96190,97130,97550,98290,98810,99180,99230,99460,99620,100260,outer
00AS,E09000017,Hillingdon,99060,99330,99770,100310,100650,101240,101530,102020,102900,103510,103910,104900,106360,106920,107460,outer
00AT,E09000018,Hounslow,85810,86520,87430,88610,89510,90370,92110,94100,94970,95890,96890,97470,97700,98390,98790,outer
00AU,E09000019,Islington,83240,84260,85980,87260,87940,88820,90650,92380,94710,96300,96870,98100,99020,100260,100760,inner
00AW,E09000020,"Kensington and Chelsea",83750,83820,83970,84360,84520,84600,84630,84580,84550,84760,84800,84900,84960,85550,86540,inner
00AX,E09000021,"Kingston upon Thames",62470,62620,62870,63400,63920,64250,64550,64810,64970,65090,65200,65420,65630,65890,66410,outer
00AY,E09000022,Lambeth,120390,121460,122010,122820,123840,125210,126560,127980,129290,130660,132210,133060,133600,134850,136260,inner
00AZ,E09000023,Lewisham,108960,109430,109750,110810,111590,112630,113290,114370,115580,116640,117650,118840,120640,121350,122820,inner
00BA,E09000024,Merton,80790,80600,80480,80330,80270,80540,80530,80680,81050,80970,80920,81430,81840,82280,82710,outer
00BB,E09000025,Newham,93390,94610,95490,96810,97380,98270,98990,99910,100980,102440,103210,104120,104790,106760,108810,outer
00BC,E09000026,Redbridge,93990,94680,95500,96200,96900,97670,98690,99310,99940,100890,101350,101870,102140,102400,102650,outer
00BD,E09000027,"Richmond upon Thames",78410,78680,78960,79250,79880,80820,81100,81460,81850,82120,82480,82690,83180,83540,83780,outer
00BE,E09000028,Southwark,107120,107540,108470,110150,112160,113730,116040,118190,119660,121410,123270,124320,125570,127220,128360,inner
00BF,E09000029,Sutton,77700,77730,77860,78050,78350,78500,78630,79120,79440,79510,79700,80280,80510,80810,81240,outer
00BG,E09000030,"Tower Hamlets",80230,82190,83660,85340,88380,91360,94370,97010,100470,103510,105380,108250,109220,109880,110790,inner
00BH,E09000031,"Waltham Forest",91990,92410,92700,92990,93620,94380,95300,96280,97250,97620,98280,98780,99250,99640,100310,outer
00BJ,E09000032,Wandsworth,120740,121620,122820,124140,125880,127240,128950,130230,132060,133890,134620,135600,136560,137760,138840,inner
00BK,E09000033,Westminster,101210,103120,104540,106760,108200,110180,111740,113410,115050,116640,118320,119250,119840,120370,121120,inner
1B,E13000001,"Inner London",1255100,1267210,1279240,1294050,1309400,1325360,1342780,1359760,1379350,1397830,1410640,1424050,1434180,1447110,1460830,
1C,E13000002,"Outer London",1835300,1842880,1852500,1863470,1874980,1887880,1901390,1915960,1928670,1938510,1947520,1958980,1969890,1980540,1993660,
A,E12000001,"North East",1114910,1119410,1124760,1129980,1136940,1143900,1152420,1161340,1167020,1172160,1178280,1182840,1187070,1191180,1198730,
B,E12000002,"North West",2945070,2958560,2976710,2998590,3019980,3043810,3069830,3099120,3118710,3132120,3143930,3154820,3167850,3181390,3200110,
D,E12000003,"Yorkshire and The Humber",2154710,2167440,2180930,2197170,2212190,2230850,2252570,2275380,2292750,2306310,2319920,2331870,2342060,2353850,2367690,
E,E12000004,"East Midlands",1796660,1812840,1829730,1845560,1863920,1885040,1908080,1929720,1945000,1958780,1971520,1982710,1993930,2006620,2022270,
F,E12000005,"West Midlands",2224710,2237690,2251460,2263960,2281710,2302190,2320380,2337970,2352600,2364860,2376730,2387430,2398360,2410900,2428160,
G,E12000006,East,2213440,2232130,2252890,2273680,2295910,2320680,2345710,2372550,2393760,2410790,2428490,2445920,2461010,2477510,2497060,
H,E12000007,London,3090410,3110090,3131750,3157520,3184390,3213230,3244170,3275730,3308000,3336360,3358180,3383020,3404090,3427670,3454500,
J,E12000008,"South East",3391890,3418040,3445350,3474410,3507660,3542010,3577720,3614270,3647700,3670930,3694420,3719020,3741160,3763020,3791400,
K,E12000009,"South West",2180780,2202420,2224150,2246330,2268840,2291360,2316030,2343190,2365910,2383590,2401300,2419360,2435760,2455100,2477490,
64,E92000001,England,21207000,21354000,21513000,21684000,21870000,22073000,22288000,22511000,22694000,22839000,22976000,23111000,23236000,23372000,23543000,
